ppg_diff,home_adv,form_diff,attack_diff,defense_diff,clean_diff,fail_diff,elo_diff,exp_diff,league_diff,result,over25,btts
-0.3181818181818179,-0.36363636363636354,-0.2466666666666667,-0.20000000000000007,0.5,-0.19999999999999996,-0.09999999999999998,0,0,0.0,0,0,0
0.3913043478260869,0.6956521739130432,-0.10666666666666669,0.7,0.7000000000000001,-0.49999999999999994,-0.1,0,0,0.0,1,0,1
0.17500000000000004,0.25,-0.13,0.20000000000000007,0.10000000000000009,0.0,-0.10000000000000003,0,0,0.0,0,0,0
0.23082706766917305,0.052631578947368585,-0.08333333333333326,-0.5,-0.7,0.2,0.2,0,3,0.0,1,1,1
0.3648648648648649,0.6507936507936514,0.4833333333333333,1.4,-0.20000000000000007,0.09999999999999998,-0.6,0,1,0.0,0,1,1
-1.3043478260869565,-1.1636363636363642,-0.6033333333333334,-0.9000000000000001,1.1,-0.30000000000000004,0.1,0,-1,0.0,0,0,0
0.8037037037037035,1.301851851851852,0.1266666666666667,1.0,-0.5,0.09999999999999998,-0.3,0,14,0.0,0,1,0
0.7727272727272727,0.6363636363636362,0.1233333333333334,-0.40000000000000013,-0.5,0.2,0.0,0,0,0.0,0,1,1
0.8780487804878048,1.2023809523809523,0.4466666666666667,0.3999999999999999,-1.0999999999999999,0.4,-0.2,0,9,0.0,1,0,0
0.2857142857142858,0.6666666666666667,-0.030000000000000027,-0.19999999999999996,-0.30000000000000004,0.0,0.10000000000000003,0,0,0.0,0,0,0
-0.18181818181818166,0.3125,-0.010000000000000009,-0.30000000000000004,-0.40000000000000013,0.3,0.0,0,0,0.0,0,0,0
-0.5454545454545456,-0.6363636363636358,-0.05666666666666681,-0.5,0.09999999999999998,0.0,0.30000000000000004,0,0,0.0,1,0,0
-0.9090909090909091,-1.7272727272727275,-0.22,-0.7,0.30000000000000004,0.0,0.0,0,0,0.0,2,0,0
-0.2432432432432432,0.11029411764705888,-0.1166666666666667,-0.10000000000000009,0.4,-0.29999999999999993,-0.19999999999999998,0,0,0.0,0,0,0
0.33246753246753213,0.6875,0.039999999999999925,-0.20000000000000007,-0.4,0.09999999999999998,-0.10000000000000003,0,2,0.0,0,0,0
0.36363636363636365,1.0833333333333333,0.10333333333333328,0.10000000000000009,0.20000000000000018,0.09999999999999998,-0.09999999999999998,0,0,0.0,1,0,1
0.6818181818181818,0.8181818181818182,0.22000000000000003,0.20000000000000007,-0.8,0.2,0.10000000000000003,0,0,0.0,0,1,0
0.3585526315789471,0.6578947368421053,0.3166666666666667,-0.30000000000000004,0.10000000000000009,0.09999999999999998,0.10000000000000003,0,-6,0.0,0,0,0
-0.30000000000000004,0.8,-0.53,-0.3999999999999999,1.9000000000000001,-0.4,0.0,0,0,0.0,1,0,0
0.6765119549929675,1.2046070460704605,0.32333333333333336,-0.09999999999999987,-0.7999999999999999,0.2,0.10000000000000003,0,-43,0.0,0,0,0
0.32499999999999996,0.7500000000000001,-0.16,-0.40000000000000013,0.0,0.19999999999999998,0.09999999999999998,0,0,0.0,0,0,0
-0.46691176470588225,0.5772058823529411,-0.10666666666666672,-0.09999999999999998,0.8999999999999999,-0.09999999999999998,0.10000000000000003,0,-2,0.0,2,1,0
-0.5255681818181821,0.2897727272727273,0.17000000000000004,0.19999999999999996,-0.09999999999999987,0.0,0.1,0,-12,0.0,0,0,0
-0.45446428571428577,-0.25,0.22666666666666668,0.29999999999999993,0.09999999999999987,0.0,0.2,0,-3,0.0,2,1,1
0.21875,0.4375,-0.10999999999999999,0.0,-0.30000000000000004,-0.2,0.0,0,0,0.0,1,0,1
-0.25,0.6490384615384617,0.19000000000000009,-0.3999999999999999,-0.5,0.2,0.2,0,-6,0.0,0,0,0
-0.6302521008403362,0.12745098039215685,-0.22,-0.49999999999999994,0.5,-0.39999999999999997,0.30000000000000004,0,-1,0.0,1,0,0
-0.2058823529411764,0.5882352941176471,-0.1600000000000001,0.8,0.7999999999999999,-0.29999999999999993,-0.3,0,0,0.0,1,0,0
-0.21190476190476182,0.8267973856209148,-0.2566666666666668,0.6000000000000001,0.9,-0.19999999999999998,-0.2,0,-1,0.0,0,1,1
-0.15217391304347827,0.30434782608695654,0.09333333333333338,-0.19999999999999996,-0.5000000000000001,0.39999999999999997,-0.09999999999999998,0,0,0.0,1,0,0
0.29227941176470584,0.6111111111111112,0.15333333333333327,0.09999999999999998,-1.0,0.2,0.09999999999999998,0,2,0.0,0,0,0
-0.4111111111111112,-0.24259259259259247,0.1233333333333333,0.8999999999999999,0.5,-0.10000000000000003,-0.4,0,-14,0.0,1,0,0
-0.2549450549450549,0.5201238390092884,-0.36333333333333334,-0.7000000000000001,0.7,-0.29999999999999993,0.39999999999999997,0,-4,0.0,2,0,0
0.3277777777777777,0.8388888888888888,-0.06333333333333335,-0.3999999999999999,0.0,0.0,0.0,0,14,0.0,0,1,1
-0.5959595959595956,0.07516339869281063,-0.10666666666666669,-0.19999999999999996,0.4,0.0,0.0,0,-3,0.0,2,0,0
1.0909090909090906,1.4545454545454544,0.15333333333333327,0.7000000000000001,0.19999999999999996,0.09999999999999998,-0.49999999999999994,0,0,0.0,0,1,1
0.6833333333333335,1.1633986928104578,0.09666666666666673,0.5999999999999999,-0.7000000000000001,0.0,-0.2,0,-1,0.0,0,1,0
-0.22499999999999998,0.35,0.0266666666666667,0.0,0.19999999999999996,-0.09999999999999998,-0.09999999999999998,0,0,0.0,1,1,1
-0.9352226720647776,-0.048582995951416574,-0.2833333333333333,-0.40000000000000013,0.5,-0.4,0.29999999999999993,0,-12,0.0,1,0,1
0.590909090909091,0.787878787878788,0.07000000000000012,0.5,-0.8,0.10000000000000003,-0.30000000000000004,0,0,0.0,2,0,0
-0.39915966386554635,0.07843137254901977,-0.2166666666666666,-0.20000000000000007,0.0,-0.2,0.0,0,-1,0.0,1,0,0
-0.19495798319327728,1.049019607843137,-0.0733333333333333,0.09999999999999998,0.0,-0.09999999999999998,0.0,0,-1,0.0,2,1,1
0.4117647058823529,1.4117647058823528,0.4533333333333333,1.0,-0.30000000000000004,-0.09999999999999998,-0.5,0,0,0.0,1,0,0
-0.36883942766295696,0.9248366013071895,-0.30333333333333345,-0.8,-0.19999999999999996,0.0,0.29999999999999993,0,-3,0.0,1,0,1
0.257142857142857,0.7777777777777778,-0.0733333333333333,0.0,-0.7,0.2,-0.2,0,0,0.0,0,0,0
-0.3156565656565655,-0.0424836601307188,-0.1866666666666667,0.09999999999999998,0.10000000000000009,0.0,0.2,0,-3,0.0,1,0,0
0.4346153846153846,1.6538461538461537,0.11666666666666664,0.0,-0.30000000000000004,0.0,-0.2,0,12,0.0,1,0,1
-1.0454545454545454,-0.5,-0.22999999999999993,-0.7,0.09999999999999987,0.0,0.2,0,0,0.0,2,0,0
0.9089285714285715,1.7401315789473686,0.29666666666666675,0.4,-1.1,0.2,-0.10000000000000003,0,3,0.0,0,1,1
-0.8666666666666667,-0.2592592592592593,-0.39,-0.3999999999999999,0.8,-0.19999999999999998,0.5,0,-14,0.0,1,0,0
-0.2272727272727273,0.18181818181818143,0.043333333333333446,-0.7,0.20000000000000007,-0.30000000000000004,0.0,0,0,0.0,0,0,0
-0.43068035943517313,0.042105263157894646,0.020000000000000018,0.19999999999999996,-0.10000000000000009,0.0,0.0,0,-3,0.0,2,1,1
